timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505698898800,2,HTTP Request,200,OK,Thread Group 1-992,text,true,,20250,122,2,2,2,0,1
1505698898802,1,HTTP Request,200,OK,Thread Group 1-994,text,true,,20250,122,1,1,1,0,0
1505698898804,1,HTTP Request,200,OK,Thread Group 1-995,text,true,,20250,122,2,2,1,0,1
1505698898804,1,HTTP Request,200,OK,Thread Group 1-996,text,true,,20250,122,2,2,1,0,1
1505698898805,1,HTTP Request,200,OK,Thread Group 1-997,text,true,,20250,122,1,1,1,0,1
1505698898807,0,HTTP Request,200,OK,Thread Group 1-998,text,true,,20250,122,1,1,0,0,0
1505698898808,0,HTTP Request,200,OK,Thread Group 1-999,text,true,,20250,122,1,1,0,0,0
1505698898809,1,HTTP Request,200,OK,Thread Group 1-1000,text,true,,20250,122,1,1,1,0,1
1505698898811,1,HTTP Request,200,OK,Thread Group 1-1001,text,true,,20250,122,1,1,1,0,0
1505698898812,1,HTTP Request,200,OK,Thread Group 1-1002,text,true,,20250,122,1,1,1,0,1
1505698898820,1,HTTP Request,200,OK,Thread Group 1-1003,text,true,,20250,122,2,2,1,0,0
1505698898821,1,HTTP Request,200,OK,Thread Group 1-1004,text,true,,20250,122,1,1,1,0,0
1505698898822,1,HTTP Request,200,OK,Thread Group 1-1005,text,true,,20250,122,1,1,1,0,1
1505698898825,1,HTTP Request,200,OK,Thread Group 1-1007,text,true,,20250,122,4,4,1,0,0
1505698898826,0,HTTP Request,200,OK,Thread Group 1-1008,text,true,,20250,122,4,4,0,0,0
1505698898826,0,HTTP Request,200,OK,Thread Group 1-1006,text,true,,20250,122,4,4,0,0,0
1505698898826,1,HTTP Request,200,OK,Thread Group 1-1009,text,true,,20250,122,1,1,1,0,0
1505698898828,1,HTTP Request,200,OK,Thread Group 1-1010,text,true,,20250,122,1,1,1,0,0
1505698898830,1,HTTP Request,200,OK,Thread Group 1-1011,text,true,,20250,122,1,1,1,0,1
1505698898832,1,HTTP Request,200,OK,Thread Group 1-1012,text,true,,20250,122,1,1,1,0,1
1505698898834,0,HTTP Request,200,OK,Thread Group 1-1013,text,true,,20250,122,2,2,0,0,0
1505698898834,1,HTTP Request,200,OK,Thread Group 1-1014,text,true,,20250,122,1,1,1,0,0
1505698898835,1,HTTP Request,200,OK,Thread Group 1-1015,text,true,,20250,122,1,1,1,0,1
