timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505699007536,0,HTTP Request,200,OK,Thread Group 1-2499,text,true,,748,122,1,1,0,0,0
1505699007537,0,HTTP Request,200,OK,Thread Group 1-2500,text,true,,748,122,1,1,0,0,0
1505699007538,0,HTTP Request,200,OK,Thread Group 1-2501,text,true,,748,122,1,1,0,0,0
1505699007539,0,HTTP Request,200,OK,Thread Group 1-2502,text,true,,748,122,1,1,0,0,0
1505699007540,1,HTTP Request,200,OK,Thread Group 1-2503,text,true,,748,122,1,1,1,0,1
1505699007542,0,HTTP Request,200,OK,Thread Group 1-2504,text,true,,748,122,1,1,0,0,0
1505699007542,1,HTTP Request,200,OK,Thread Group 1-2505,text,true,,748,122,1,1,1,0,1
1505699007543,1,HTTP Request,200,OK,Thread Group 1-2506,text,true,,748,122,1,1,1,0,1
1505699007545,0,HTTP Request,200,OK,Thread Group 1-2507,text,true,,748,122,1,1,0,0,0
1505699007546,0,HTTP Request,200,OK,Thread Group 1-2508,text,true,,748,122,1,1,0,0,0
1505699007547,0,HTTP Request,200,OK,Thread Group 1-2509,text,true,,748,122,1,1,0,0,0
1505699007548,0,HTTP Request,200,OK,Thread Group 1-2510,text,true,,748,122,1,1,0,0,0
1505699007549,0,HTTP Request,200,OK,Thread Group 1-2511,text,true,,748,122,1,1,0,0,0
1505699007550,0,HTTP Request,200,OK,Thread Group 1-2512,text,true,,748,122,1,1,0,0,0
1505699007551,0,HTTP Request,200,OK,Thread Group 1-2513,text,true,,748,122,1,1,0,0,0
1505699007552,0,HTTP Request,200,OK,Thread Group 1-2514,text,true,,748,122,2,2,0,0,0
1505699007552,0,HTTP Request,200,OK,Thread Group 1-2515,text,true,,748,122,1,1,0,0,0
1505699007554,0,HTTP Request,200,OK,Thread Group 1-2516,text,true,,748,122,1,1,0,0,0
1505699007555,0,HTTP Request,200,OK,Thread Group 1-2517,text,true,,748,122,1,1,0,0,0
1505699007556,0,HTTP Request,200,OK,Thread Group 1-2518,text,true,,748,122,1,1,0,0,0
1505699007557,0,HTTP Request,200,OK,Thread Group 1-2519,text,true,,748,122,1,1,0,0,0
1505699007558,1,HTTP Request,200,OK,Thread Group 1-2520,text,true,,748,122,1,1,1,0,1
1505699007559,1,HTTP Request,200,OK,Thread Group 1-2521,text,true,,748,122,1,1,1,0,1
1505699007560,1,HTTP Request,200,OK,Thread Group 1-2522,text,true,,748,122,1,1,1,0,1
1505699007561,1,HTTP Request,200,OK,Thread Group 1-2523,text,true,,748,122,1,1,1,0,1
1505699007563,0,HTTP Request,200,OK,Thread Group 1-2524,text,true,,748,122,1,1,0,0,0
1505699007564,0,HTTP Request,200,OK,Thread Group 1-2525,text,true,,748,122,1,1,0,0,0
1505699007565,0,HTTP Request,200,OK,Thread Group 1-2526,text,true,,748,122,1,1,0,0,0
1505699007566,0,HTTP Request,200,OK,Thread Group 1-2527,text,true,,748,122,1,1,0,0,0
1505699007567,0,HTTP Request,200,OK,Thread Group 1-2528,text,true,,748,122,1,1,0,0,0
1505699007568,0,HTTP Request,200,OK,Thread Group 1-2529,text,true,,748,122,1,1,0,0,0
1505699007569,0,HTTP Request,200,OK,Thread Group 1-2530,text,true,,748,122,2,2,0,0,0
1505699007569,0,HTTP Request,200,OK,Thread Group 1-2531,text,true,,748,122,2,2,0,0,0
1505699007570,0,HTTP Request,200,OK,Thread Group 1-2532,text,true,,748,122,1,1,0,0,0
1505699007572,0,HTTP Request,200,OK,Thread Group 1-2533,text,true,,748,122,1,1,0,0,0
1505699007573,0,HTTP Request,200,OK,Thread Group 1-2534,text,true,,748,122,1,1,0,0,0
1505699007574,0,HTTP Request,200,OK,Thread Group 1-2535,text,true,,748,122,1,1,0,0,0
1505699007575,0,HTTP Request,200,OK,Thread Group 1-2536,text,true,,748,122,1,1,0,0,0
1505699007576,1,HTTP Request,200,OK,Thread Group 1-2537,text,true,,748,122,1,1,1,0,0
1505699007577,1,HTTP Request,200,OK,Thread Group 1-2538,text,true,,748,122,1,1,1,0,1
1505699007578,1,HTTP Request,200,OK,Thread Group 1-2539,text,true,,748,122,1,1,1,0,1
1505699007579,1,HTTP Request,200,OK,Thread Group 1-2540,text,true,,748,122,1,1,1,0,1
1505699007581,0,HTTP Request,200,OK,Thread Group 1-2541,text,true,,748,122,1,1,0,0,0
1505699007582,0,HTTP Request,200,OK,Thread Group 1-2542,text,true,,748,122,1,1,0,0,0
1505699007583,0,HTTP Request,200,OK,Thread Group 1-2543,text,true,,748,122,1,1,0,0,0
1505699007584,0,HTTP Request,200,OK,Thread Group 1-2544,text,true,,748,122,1,1,0,0,0
1505699007585,0,HTTP Request,200,OK,Thread Group 1-2545,text,true,,748,122,1,1,0,0,0
1505699007586,0,HTTP Request,200,OK,Thread Group 1-2546,text,true,,748,122,1,1,0,0,0
1505699007587,0,HTTP Request,200,OK,Thread Group 1-2547,text,true,,748,122,1,1,0,0,0
1505699007588,0,HTTP Request,200,OK,Thread Group 1-2548,text,true,,748,122,2,2,0,0,0
1505699007588,0,HTTP Request,200,OK,Thread Group 1-2549,text,true,,748,122,1,1,0,0,0
1505699007589,0,HTTP Request,200,OK,Thread Group 1-2550,text,true,,748,122,1,1,0,0,0
1505699007591,0,HTTP Request,200,OK,Thread Group 1-2551,text,true,,748,122,1,1,0,0,0
1505699007592,0,HTTP Request,200,OK,Thread Group 1-2552,text,true,,748,122,1,1,0,0,0
1505699007593,0,HTTP Request,200,OK,Thread Group 1-2553,text,true,,748,122,1,1,0,0,0
1505699007594,1,HTTP Request,200,OK,Thread Group 1-2554,text,true,,748,122,1,1,1,0,0
1505699007595,1,HTTP Request,200,OK,Thread Group 1-2555,text,true,,748,122,1,1,1,0,0
